target,prime,rt,key,participant,prof,primetype,relationtype,primert,paikka,immersion,age,years
СТРОИТЬ,область,0.61086090002209,j,L26,aine,a_unrelated,derivation,unrel,labra,yes,21,5
ПЛАКАТЬ,плакал,,None,L26,aine,related,inflection,inf,labra,yes,21,5
ВЫБРАТЬ,выбрал,0.492890000110492,j,L26,aine,related,inflection,inf,labra,yes,21,5
ВСТРЕЧАТЬ,встречал,0.629952500108629,j,L26,aine,related,inflection,inf,labra,yes,21,5
КРИЧАТЬ,кричал,0.581142400158569,j,L26,aine,related,inflection,inf,labra,yes,21,5
УБИТЬ,убил,0.727714900160208,j,L26,aine,related,inflection,inf,labra,yes,21,5
БЕЖАТЬ,бежал,0.526901999954134,j,L26,aine,related,inflection,inf,labra,yes,21,5
БРОСИТЬ,никакой,0.581533600110561,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
УМЕТЬ,умел,0.525415500160307,j,L26,aine,related,inflection,inf,labra,yes,21,5
ПОНЯТЬ,хорошо,0.577192299999297,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
ПИСАТЬ,черный,0.54683420015499,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
РЕШИТЬ,далекий,0.659060799982399,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
СЛЫШАТЬ,история,0.70865450007841,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
ПОМНИТЬ,власть,0.562230900162831,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
УЗНАТЬ,тысяча,0.786700899945572,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
ОЖИДАТЬ,внимание,0.944971600081772,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
СНИМАТЬ,развитие,0.524984299903736,j,L26,aine,a_unrelated,inflection,unrel,labra,yes,21,5
ЗАБЫТЬ,забыл,0.592463500099257,j,L26,aine,related,inflection,inf,labra,yes,21,5
СОБРАТЬ,собрал,0.547797800041735,j,L26,aine,related,inflection,inf,labra,yes,21,5
СТРАДАТЬ,пострадать,0.649798200000078,j,L27,syv,related,derivation,der,labra,yes,26,15
СМОТРЕТЬ,посмотреть,0.5699829000514,j,L27,syv,related,derivation,der,labra,yes,26,15
СТОЯТЬ,постоять,0.544185099890456,j,L27,syv,related,derivation,der,labra,yes,26,15
ИГРАТЬ,поиграть,0.590759299928322,j,L27,syv,related,derivation,der,labra,yes,26,15
СТАВИТЬ,поставить,0.772718399995938,j,L27,syv,related,derivation,der,labra,yes,26,15
СЛУШАТЬ,послушать,0.954197800019756,j,L27,syv,related,derivation,der,labra,yes,26,15
ПРОСИТЬ,попросить,0.71668710000813,j,L27,syv,related,derivation,der,labra,yes,26,15
КУРИТЬ,покурить,0.62196179991588,j,L27,syv,related,derivation,der,labra,yes,26,15
СЧИТАТЬ,посчитать,0.582482300000265,j,L27,syv,related,derivation,der,labra,yes,26,15
ЖЕЛАТЬ,пожелать,0.704672800144181,j,L27,syv,related,derivation,der,labra,yes,26,15
ИСКАТЬ,поискать,0.626262299949303,j,L27,syv,related,derivation,der,labra,yes,26,15
