"","x"
"879",1.32978723404255
"880",1.24378109452736
"881",1.79533213644524
"882",1.11731843575419
"883",1.18623962040332
"884",1.37931034482759
"885",1.94552529182879
"886",1.24688279301746
"887",1.47275405007364
"888",1.44092219020173
"889",3.3003300330033
"890",1.80505415162455
"891",2.04918032786885
"892",1.49633398174473
"893",1.57707562866177
"894",1.68177460856696
"895",0.905518228081931
"896",0.641017422853553
"897",1.23097376179427
"898",1.66992301654894
"899",1.05033742089646
"900",1.66672222407414
"901",1.35015628058948
"902",1.61410078445298
"903",1.63925020695534
"904",1.44612114156803
"905",0.947867298578199
"906",1.62074554294976
"907",1.51057401812689
"908",1.43884892086331
"909",1.51057401812689
"910",1.58478605388273
"911",0.802568218298555
"912",1.6750418760469
"913",1.18906064209275
"914",1.40449438202247
"915",1.51057401812689
"916",1.6260162601626
"917",1.03305785123967
"918",1.669449081803
"919",1.18483412322275
"920",1.4265335235378
"921",1.09529025191676
"922",1.29366106080207
"923",1.50602409638554
"924",1.28700128700129
"925",1.36425648021828
"926",1.17924528301887
"927",1.03734439834025
"928",1.14174149830737
"929",1.53255530608961
"930",1.61890885543144
"931",1.44743984078162
"932",1.39318454122433
"933",1.32840053933062
"934",1.32051552926262
"935",1.37870181437159
"936",1.28951559346731
"937",1.47464350493268
"938",1.44573436076855
"939",1.33965651207031
"940",1.52010336702896
"941",1.35496765014735
"942",1.41205043844166
"943",1.44545224587143
"944",1.24608262773905
"945",1.41330770535361
"946",0.745417545638189
"947",1.23276441255694
"948",0.9646829569462
"949",1.24291538232077
"950",1.03122019129135
"951",1.61061718850664
"952",1.46267259536625
"953",2.14130469695185
"954",2.0225105423362
"955",2.48416345795553
"956",1.80833461423702
"957",1.87113493689597
"958",1.87480080241474
"959",1.8301443068786
"960",2.2422278776192
"961",1.74257011666507
"962",2.18529080757422
"963",2.08396286378177
"964",1.61681487469685
"965",1.56941523588311
"966",1.84581875905605
"967",1.43787654391994
"968",1.73334257782708
"969",1.24873565514916
"970",1.66679167604237
"971",1.89159281573049
"972",1.51099627539418
"973",1.33550575602981
"974",1.46204174129171
"975",1.66551468567574
"976",1.18352999656776
"977",1.39861117909915
"978",1.28611573755522
"979",1.74471351804034
"980",1.13146490761589
"981",1.42765365122421
"982",1.45495813357971
"983",1.49567376363867
"984",1.83875920528827
"985",1.24909440655525
"986",1.64204960631861
"987",1.70462293740625
"988",1.47670134453657
"989",1.51844147167347
"990",1.50903534915305
"991",1.13078680145645
"992",1.73988690735102
"993",1.64209005221846
"994",1.61216215126917
"995",1.26343984131196
"996",1.12285114362389
"997",1.10974242878228
"998",1.53920746207778
"999",1.01694742890266
"1000",1.62154711810538
"1001",1.65508109897385
"1002",1.62308678645047
"1003",1.61481756598548
"1004",1.15428122907865
"1005",1.53589777064439
"1006",1.58750317500635
"1007",1.05597178443392
"1008",1.39487522841082
"1009",1.53724356855722
"1010",1.4600671630895
"1011",1.35884335253832
"1012",1.49570731999162
"1013",1.19971686681943
"1014",1.04721362634371
"1015",1.24754389795091
"1016",1.37355090379649
"1017",1.27580311806282
"1018",0.792744799594115
"1019",1.05613907239305
"1020",0.69679855902058
"1021",1.42490738102023
"1022",0.935055705943682
"1023",1.29427219838604
"1024",1.49258186811547
"1025",0.625933031424968
"1026",1.15349566862376
"1027",1.2218590585576
"1028",1.11547385329288
"1029",1.09455295720845
"1030",0.692835046367985
"1031",0.96735655311513
